53, Private, 234721, 11th, 7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
64, Private, 181232, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 2179, 40, United-States, <=50K
71, Self-emp-not-inc, 494223, Some-college, 10, Separated, Sales, Unmarried, Black, Male, 0, 1816, 2, United-States, <=50K
66, Local-gov, 54826, Assoc-voc, 11, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
51, Private, 96062, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 40, United-States, >50K
58, State-gov, 109567, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 1, United-States, >50K
51, Private, 259323, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
58, Self-emp-inc, 210563, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 15024, 0, 35, United-States, >50K
60, Private, 85815, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
54, Self-emp-inc, 125417, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
90, Private, 51744, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 2206, 40, United-States, <=50K
54, Private, 176681, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 20, United-States, <=50K
53, Local-gov, 140359, Preschool, 1, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
66, Self-emp-not-inc, 167687, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 1409, 0, 50, United-States, <=50K
75, Private, 314209, Assoc-voc, 11, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 20, Columbia, <=50K
65, Private, 176796, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
59, State-gov, 268700, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
58, Private, 236596, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, >50K
59, Local-gov, 171328, 10th, 6, Widowed, Other-service, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K
58, Private, 259014, Some-college, 10, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
59, Private, 146013, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 4064, 0, 40, United-States, <=50K
64, Private, 21174, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
61, Private, 69867, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
60, Private, 173960, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 42, United-States, <=50K
57, Federal-gov, 425161, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 40, United-States, >50K
65, Private, 111095, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 16, United-States, <=50K
55, Private, 238638, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 4386, 0, 40, United-States, >50K
77, Self-emp-not-inc, 138714, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
62, Private, 159841, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 24, United-States, <=50K
76, Self-emp-not-inc, 174309, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 10, United-States, <=50K
63, Self-emp-not-inc, 78383, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 45, United-States, <=50K
58, Self-emp-not-inc, 321171, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
66, Private, 127921, HS-grad, 9, Never-married, Transport-moving, Not-in-family, White, Male, 2050, 0, 55, United-States, <=50K
55, Local-gov, 98545, 10th, 6, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
53, Private, 242606, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
56, Private, 101128, Assoc-acdm, 12, Married-spouse-absent, Other-service, Not-in-family, White, Male, 0, 0, 25, Iran, <=50K
65, Private, 161400, 11th, 7, Widowed, Other-service, Unmarried, Other, Male, 0, 0, 40, United-States, <=50K
62, Private, 270092, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
56, Self-emp-not-inc, 183081, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, <=50K
57, Private, 212448, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
54, Private, 174319, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
52, Self-emp-inc, 132178, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
52, Private, 190762, 1st-4th, 2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
63, Self-emp-inc, 222289, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
51, Private, 56915, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
60, Private, 245062, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
54, Local-gov, 288825, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
52, Private, 35598, HS-grad, 9, Divorced, Transport-moving, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
60, Private, 201965, Some-college, 10, Never-married, Prof-specialty, Unmarried, White, Male, 0, 0, 40, United-States, >50K
67, Private, 49401, Assoc-voc, 11, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 24, United-States, <=50K
59, Local-gov, 286967, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K
62, Local-gov, 114060, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 48925, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
58, Private, 180980, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 42, France, <=50K
74, Private, 99183, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 9, United-States, <=50K
67, Private, 231559, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 20051, 0, 48, United-States, >50K
57, Private, 190942, 1st-4th, 2, Widowed, Priv-house-serv, Not-in-family, Black, Female, 0, 0, 30, United-States, <=50K
58, Private, 51662, 10th, 6, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 8, United-States, <=50K
72, Private, 205343, 11th, 7, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
69, Private, 136218, 11th, 7, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
54, Private, 212960, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 35, United-States, >50K
52, Self-emp-not-inc, 334273, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
51, Private, 95469, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
58, Local-gov, 283635, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
57, Private, 69884, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
59, Private, 199713, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 25826, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1887, 47, United-States, >50K
57, Self-emp-inc, 103948, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 80, United-States, <=50K
60, Private, 39352, 7th-8th, 4, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 48, United-States, >50K
60, Private, 51290, 7th-8th, 4, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
51, Private, 410114, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
52, Private, 200853, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 6849, 0, 60, United-States, <=50K
52, Self-emp-inc, 51048, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, <=50K
65, Private, 109351, 9th, 5, Widowed, Priv-house-serv, Unmarried, Black, Female, 0, 0, 24, United-States, <=50K
58, Self-emp-not-inc, 35723, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K
52, Self-emp-not-inc, 289436, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
60, Private, 199378, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
71, Private, 78277, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 15, United-States, <=50K
58, Self-emp-not-inc, 204021, HS-grad, 9, Widowed, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
54, Local-gov, 113000, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
60, Private, 177665, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K
55, Private, 173093, Some-college, 10, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K
56, Private, 156052, HS-grad, 9, Widowed, Other-service, Unmarried, Black, Female, 594, 0, 20, United-States, <=50K
55, Self-emp-not-inc, 200939, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 72, United-States, <=50K
55, Private, 197422, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 7688, 0, 40, United-States, >50K
58, Self-emp-not-inc, 87510, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
54, Private, 285854, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
59, Local-gov, 420537, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 38, United-States, >50K
53, Self-emp-inc, 128272, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, >50K
51, Private, 386773, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 55, United-States, >50K
55, Private, 116442, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 38, United-States, <=50K
54, Private, 279129, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
61, Self-emp-not-inc, 36671, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 2352, 50, United-States, <=50K
60, Private, 31577, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, >50K
61, Private, 128831, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
68, Self-emp-not-inc, 315859, 11th, 7, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
64, Private, 270333, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
56, Private, 186556, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
64, Private, 169871, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K
57, Private, 34269, HS-grad, 9, Widowed, Transport-moving, Unmarried, White, Male, 0, 653, 42, United-States, >50K
62, Private, 174355, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
53, Private, 194259, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 4386, 0, 40, United-States, >50K
73, Self-emp-not-inc, 177387, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Private, 105304, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
63, Private, 86108, HS-grad, 9, Widowed, Farming-fishing, Not-in-family, White, Male, 0, 0, 6, United-States, <=50K
51, Private, 146813, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
62, Local-gov, 291175, Bachelors, 13, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 48, United-States, <=50K
55, Private, 387569, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 4386, 0, 40, United-States, >50K
61, Private, 99784, Masters, 14, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
59, Private, 142182, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, >50K
71, Self-emp-not-inc, 143437, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 10605, 0, 40, United-States, >50K
51, Self-emp-not-inc, 160724, Bachelors, 13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 2415, 40, China, >50K
55, Private, 282753, 5th-6th, 3, Divorced, Other-service, Unmarried, Black, Male, 0, 0, 25, United-States, <=50K
54, Self-emp-not-inc, 406468, HS-grad, 9, Married-civ-spouse, Sales, Husband, Black, Male, 0, 0, 40, United-States, <=50K
63, Local-gov, 28856, 7th-8th, 4, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 55, United-States, <=50K
51, Self-emp-not-inc, 175897, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 20, United-States, <=50K
53, Private, 68898, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
53, Self-emp-not-inc, 311020, 10th, 6, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K
67, Self-emp-inc, 76860, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, >50K
81, Self-emp-not-inc, 136063, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 30, United-States, <=50K
51, Private, 138022, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
51, Local-gov, 241843, Preschool, 1, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
54, Local-gov, 166398, Some-college, 10, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 35, United-States, <=50K
51, Private, 269080, 7th-8th, 4, Widowed, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
51, Private, 133461, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Self-emp-not-inc, 189721, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 20, United-States, <=50K
67, Private, 105252, Bachelors, 13, Widowed, Exec-managerial, Not-in-family, White, Male, 0, 2392, 40, United-States, >50K
78, Private, 182977, HS-grad, 9, Widowed, Other-service, Not-in-family, Black, Female, 2964, 0, 40, United-States, <=50K
60, Self-emp-not-inc, 154474, HS-grad, 9, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 42, United-States, <=50K
63, Private, 254907, Assoc-voc, 11, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
51, Private, 122159, Some-college, 10, Widowed, Prof-specialty, Not-in-family, White, Female, 3325, 0, 40, United-States, <=50K
56, Private, 112840, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
58, Private, 356067, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
66, Private, 271567, HS-grad, 9, Separated, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
54, Self-emp-not-inc, 123011, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 15024, 0, 52, United-States, >50K
51, Private, 220537, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
51, Private, 191965, HS-grad, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
56, Private, 169133, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 50, Yugoslavia, <=50K
90, Private, 137018, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
61, Private, 125155, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
53, Self-emp-not-inc, 263925, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, Canada, >50K
52, Self-emp-not-inc, 44728, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K
61, Private, 128848, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3471, 0, 40, United-States, <=50K
54, Private, 377701, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 32, Mexico, <=50K
58, Self-emp-not-inc, 81642, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K
62, Private, 92178, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
69, Private, 168139, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K
58, Local-gov, 205267, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K
53, Private, 288020, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Japan, <=50K
63, Federal-gov, 124244, HS-grad, 9, Widowed, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
59, Federal-gov, 212448, HS-grad, 9, Widowed, Sales, Unmarried, White, Female, 0, 0, 40, Germany, <=50K
56, Self-emp-not-inc, 200235, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
61, Self-emp-inc, 84409, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 35, United-States, >50K
51, Private, 302847, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 54, United-States, <=50K
51, Private, 284329, HS-grad, 9, Widowed, Transport-moving, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
54, Private, 96062, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
65, Private, 350498, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 10605, 0, 20, United-States, >50K
88, Self-emp-not-inc, 206291, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
51, Private, 241346, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 43, United-States, <=50K
59, Federal-gov, 43280, Some-college, 10, Never-married, Exec-managerial, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
65, Private, 118779, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 30, United-States, <=50K
51, Private, 239155, Assoc-voc, 11, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
51, Local-gov, 176813, Assoc-acdm, 12, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
59, Private, 151616, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, <=50K
61, Self-emp-inc, 113544, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
61, Local-gov, 321117, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K
54, Private, 99185, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 45, United-States, >50K
53, Private, 22154, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Private, 176317, HS-grad, 9, Widowed, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
75, Self-emp-not-inc, 208426, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, <=50K
52, Federal-gov, 31838, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
55, Private, 326297, HS-grad, 9, Separated, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
65, Self-emp-not-inc, 167414, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 59, United-States, >50K
62, Private, 192866, Some-college, 10, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
54, Self-emp-inc, 166459, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 99999, 0, 60, United-States, >50K
51, Self-emp-inc, 229465, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States, >50K
52, Federal-gov, 202452, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 43, United-States, <=50K
57, Private, 141326, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
53, Private, 89534, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 48, United-States, >50K
73, Private, 29778, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 37, United-States, <=50K
51, Local-gov, 152754, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
67, Private, 171584, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 6514, 0, 7, United-States, >50K
52, Private, 186785, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 1876, 50, United-States, <=50K
57, Private, 182062, 10th, 6, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
63, Self-emp-not-inc, 795830, 1st-4th, 2, Widowed, Other-service, Unmarried, White, Female, 0, 0, 30, El-Salvador, <=50K
58, Self-emp-inc, 186791, Some-college, 10, Married-civ-spouse, Transport-moving, Wife, White, Female, 0, 0, 40, United-States, >50K
51, Private, 179646, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
61, Local-gov, 101265, HS-grad, 9, Widowed, Adm-clerical, Unmarried, White, Female, 1471, 0, 35, United-States, <=50K
55, Private, 121912, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 24, United-States, >50K
52, Private, 168381, HS-grad, 9, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, India, >50K
57, Private, 265099, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
51, Private, 146767, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
71, Private, 269708, Bachelors, 13, Divorced, Tech-support, Own-child, White, Female, 2329, 0, 16, United-States, <=50K
57, Private, 89392, Masters, 14, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
59, State-gov, 105363, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
61, Self-emp-inc, 134768, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, Germany, >50K
58, Private, 132606, 5th-6th, 3, Divorced, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
61, Self-emp-not-inc, 30073, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 1848, 60, United-States, >50K
52, Private, 146378, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
51, Private, 203435, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, Italy, <=50K
