@relation 'census_income-weka.filters.unsupervised.attribute.Remove-R2-4,7,9,14'

@attribute age numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
28,15,Never-married,Not-in-family,Male,0,0,55,>50K
59,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
40,10,Never-married,Not-in-family,Female,0,0,38,<=50K
41,13,Married-civ-spouse,Husband,Male,0,0,50,>50K
38,14,Married-civ-spouse,Husband,Male,0,0,70,>50K
23,9,Never-married,Own-child,Male,0,0,40,<=50K
40,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
41,9,Married-civ-spouse,Wife,Female,0,0,20,<=50K
24,12,Married-civ-spouse,Husband,Male,0,0,50,<=50K
38,10,Divorced,Not-in-family,Male,0,1741,40,<=50K
58,9,Married-civ-spouse,Husband,Male,0,0,45,>50K
32,9,Never-married,Not-in-family,Female,0,0,34,<=50K
40,12,Married-civ-spouse,Husband,Male,0,1977,60,>50K
41,15,Married-civ-spouse,Wife,Female,0,0,40,>50K
42,13,Married-civ-spouse,Wife,Female,0,0,40,<=50K
59,6,Widowed,Unmarried,Female,0,0,30,<=50K
19,10,Never-married,Own-child,Male,0,0,40,<=50K
58,10,Never-married,Not-in-family,Male,0,0,20,<=50K
42,9,Married-civ-spouse,Husband,Male,0,0,40,>50K
20,9,Never-married,Own-child,Female,0,0,40,<=50K
32,9,Separated,Not-in-family,Female,0,0,30,<=50K
45,11,Widowed,Not-in-family,Female,0,0,45,<=50K
50,4,Divorced,Not-in-family,Male,0,0,40,<=50K
36,13,Divorced,Own-child,Female,0,0,40,<=50K
45,9,Married-civ-spouse,Husband,Male,0,0,60,<=50K
17,7,Never-married,Own-child,Male,0,0,12,<=50K
59,10,Married-civ-spouse,Husband,Male,4064,0,40,<=50K
26,7,Married-civ-spouse,Husband,Male,0,0,40,<=50K
37,10,Married-civ-spouse,Husband,Male,0,0,75,>50K
64,9,Married-civ-spouse,Husband,Male,0,0,40,>50K
33,13,Never-married,Not-in-family,Female,0,0,45,<=50K
33,9,Married-civ-spouse,Wife,Female,0,0,40,>50K
61,9,Married-civ-spouse,Husband,Male,0,0,40,>50K
17,5,Never-married,Own-child,Male,1055,0,24,<=50K
50,14,Married-civ-spouse,Husband,Male,2407,0,98,<=50K
27,14,Never-married,Own-child,Male,0,0,35,<=50K
30,9,Divorced,Own-child,Female,0,0,40,<=50K
43,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
44,10,Married-civ-spouse,Husband,Male,7298,0,40,>50K
35,10,Never-married,Not-in-family,Female,0,0,40,<=50K
25,10,Never-married,Own-child,Female,0,0,40,<=50K
24,10,Married-civ-spouse,Wife,Female,7298,0,48,>50K
22,13,Never-married,Not-in-family,Female,0,0,15,<=50K
42,10,Married-civ-spouse,Husband,Male,5178,0,40,>50K
34,12,Divorced,Unmarried,Female,0,0,45,<=50K
60,13,Divorced,Not-in-family,Female,0,0,42,<=50K
21,9,Never-married,Own-child,Male,0,0,40,<=50K
57,14,Married-civ-spouse,Husband,Male,15024,0,40,>50K
41,15,Married-civ-spouse,Husband,Male,0,0,60,>50K
50,10,Divorced,Not-in-family,Male,0,0,45,<=50K
25,13,Never-married,Not-in-family,Female,0,0,40,<=50K
50,4,Married-civ-spouse,Husband,Male,0,0,40,<=50K
36,13,Married-civ-spouse,Husband,Male,0,0,45,<=50K
31,9,Divorced,Not-in-family,Female,0,0,40,<=50K
29,13,Never-married,Not-in-family,Male,0,0,56,<=50K
21,10,Never-married,Own-child,Male,0,0,45,<=50K
27,13,Never-married,Unmarried,Female,0,0,40,<=50K
65,9,Married-civ-spouse,Husband,Male,0,0,16,<=50K
37,13,Divorced,Not-in-family,Female,0,0,60,<=50K
24,9,Never-married,Own-child,Male,0,0,40,<=50K
38,9,Divorced,Not-in-family,Male,0,0,80,<=50K
48,13,Married-civ-spouse,Husband,Male,7688,0,40,>50K
21,10,Never-married,Not-in-family,Female,0,0,25,<=50K
31,9,Married-civ-spouse,Husband,Male,0,0,45,>50K
55,9,Married-civ-spouse,Husband,Male,4386,0,40,>50K
24,10,Married-civ-spouse,Wife,Female,0,0,40,<=50K
43,9,Divorced,Not-in-family,Female,0,0,40,<=50K
26,12,Never-married,Not-in-family,Male,0,0,45,<=50K
46,12,Never-married,Not-in-family,Female,0,0,33,<=50K
35,12,Married-civ-spouse,Husband,Male,0,0,40,>50K
41,10,Married-civ-spouse,Husband,Male,0,0,54,>50K
26,13,Never-married,Not-in-family,Male,0,0,40,<=50K
34,14,Married-civ-spouse,Husband,Male,7298,0,35,>50K
36,13,Divorced,Not-in-family,Female,0,0,40,>50K
22,10,Never-married,Own-child,Male,0,0,15,<=50K
24,10,Never-married,Not-in-family,Male,0,0,40,<=50K
77,10,Married-civ-spouse,Husband,Male,0,0,40,<=50K
22,3,Married-civ-spouse,Other-relative,Female,0,0,40,<=50K
29,10,Never-married,Not-in-family,Female,0,0,40,<=50K
62,9,Widowed,Not-in-family,Female,0,0,24,<=50K
39,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
43,10,Married-civ-spouse,Husband,Male,0,1485,50,<=50K
35,9,Divorced,Not-in-family,Male,0,0,45,<=50K
29,7,Never-married,Not-in-family,Female,0,0,40,<=50K
76,14,Married-civ-spouse,Husband,Male,0,0,10,<=50K
63,9,Married-civ-spouse,Husband,Male,0,0,45,<=50K
43,10,Married-civ-spouse,Wife,Female,0,1887,50,>50K
58,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
66,9,Never-married,Not-in-family,Male,2050,0,55,<=50K
41,10,Never-married,Not-in-family,Male,0,0,45,<=50K
26,13,Never-married,Not-in-family,Male,0,0,40,<=50K
47,11,Never-married,Not-in-family,Male,0,0,40,<=50K
55,6,Married-civ-spouse,Husband,Male,0,0,40,<=50K
53,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
17,3,Never-married,Other-relative,Male,0,0,48,<=50K
30,9,Never-married,Other-relative,Male,0,0,40,<=50K
49,14,Never-married,Not-in-family,Male,0,0,60,<=50K
19,9,Never-married,Unmarried,Male,0,0,30,<=50K
45,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
26,12,Never-married,Not-in-family,Male,0,0,40,<=50K
38,11,Married-civ-spouse,Husband,Male,7298,0,40,>50K
36,9,Married-civ-spouse,Husband,Male,7298,0,40,>50K
33,9,Never-married,Not-in-family,Male,0,0,20,<=50K
22,10,Never-married,Own-child,Female,0,0,40,<=50K
43,13,Never-married,Not-in-family,Male,0,0,42,<=50K
56,12,Married-spouse-absent,Not-in-family,Male,0,0,25,<=50K
31,13,Never-married,Own-child,Male,0,0,25,<=50K
33,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
26,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
33,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
46,7,Married-civ-spouse,Husband,Male,0,0,30,<=50K
38,9,Married-civ-spouse,Husband,Male,0,0,40,>50K
65,7,Widowed,Unmarried,Male,0,0,40,<=50K
40,11,Married-civ-spouse,Husband,Male,0,0,40,>50K
42,9,Married-civ-spouse,Wife,Female,0,0,35,<=50K
26,5,Married-civ-spouse,Husband,Male,0,0,40,<=50K
36,6,Married-civ-spouse,Wife,Female,0,0,24,<=50K
62,14,Married-civ-spouse,Husband,Male,0,0,40,>50K
43,13,Married-civ-spouse,Husband,Male,0,0,45,<=50K
43,13,Divorced,Not-in-family,Male,0,1564,45,>50K
22,9,Married-spouse-absent,Not-in-family,Male,0,0,55,<=50K
28,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
56,10,Married-civ-spouse,Husband,Male,0,0,45,<=50K
22,12,Never-married,Not-in-family,Female,0,0,15,<=50K
57,13,Divorced,Not-in-family,Female,0,0,45,>50K
39,9,Divorced,Unmarried,Female,0,0,40,<=50K
26,10,Never-married,Unmarried,Female,0,0,15,<=50K
17,7,Never-married,Own-child,Male,0,0,10,<=50K
40,11,Married-civ-spouse,Husband,Male,0,0,38,>50K
45,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
44,9,Never-married,Not-in-family,Male,0,0,40,<=50K
20,10,Never-married,Own-child,Female,0,0,10,<=50K
33,9,Married-civ-spouse,Wife,Female,0,0,40,<=50K
23,10,Never-married,Not-in-family,Male,0,0,40,<=50K
46,14,Divorced,Not-in-family,Male,0,0,30,<=50K
38,9,Married-civ-spouse,Husband,Male,0,0,50,<=50K
54,9,Divorced,Not-in-family,Male,0,0,40,<=50K
46,3,Divorced,Not-in-family,Female,0,2339,45,<=50K
25,10,Married-civ-spouse,Husband,Male,0,0,40,<=50K
46,10,Divorced,Not-in-family,Female,0,0,40,<=50K
36,10,Married-civ-spouse,Wife,Female,0,0,40,<=50K
23,9,Never-married,Not-in-family,Female,0,0,25,<=50K
29,9,Separated,Not-in-family,Male,0,0,40,<=50K
44,10,Married-civ-spouse,Wife,Female,0,2415,6,>50K
19,10,Never-married,Own-child,Female,0,0,16,<=50K
19,9,Never-married,Other-relative,Female,0,0,40,<=50K
35,9,Married-civ-spouse,Wife,Female,0,0,40,>50K
27,13,Never-married,Not-in-family,Male,0,0,50,<=50K
46,12,Separated,Not-in-family,Male,0,0,40,<=50K
34,9,Never-married,Not-in-family,Female,0,0,35,<=50K
44,10,Married-civ-spouse,Husband,Male,0,0,40,<=50K
45,10,Divorced,Unmarried,Female,0,0,40,<=50K
25,13,Married-civ-spouse,Husband,Male,0,0,55,>50K
52,13,Married-civ-spouse,Husband,Male,0,0,50,>50K
20,10,Never-married,Own-child,Male,0,0,40,<=50K
28,10,Never-married,Not-in-family,Female,0,0,40,<=50K
50,13,Married-civ-spouse,Husband,Male,0,0,40,>50K
34,11,Divorced,Not-in-family,Female,0,0,64,<=50K
28,4,Married-civ-spouse,Husband,Male,0,2179,40,<=50K
41,14,Married-civ-spouse,Husband,Male,0,1977,65,>50K
28,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
46,9,Married-civ-spouse,Husband,Male,0,0,25,<=50K
32,10,Married-civ-spouse,Husband,Male,0,0,50,<=50K
41,10,Divorced,Not-in-family,Female,0,0,24,<=50K
24,9,Never-married,Unmarried,Female,0,0,40,<=50K
33,10,Divorced,Unmarried,Female,0,0,40,<=50K
46,16,Married-civ-spouse,Husband,Male,15024,0,60,>50K
31,10,Married-civ-spouse,Husband,Male,0,0,40,<=50K
35,8,Divorced,Not-in-family,Male,0,0,50,>50K
52,2,Married-civ-spouse,Husband,Male,0,0,40,<=50K
30,7,Never-married,Own-child,Female,0,0,19,<=50K
34,7,Separated,Not-in-family,Male,0,0,40,<=50K
34,9,Divorced,Unmarried,Female,0,0,40,<=50K
20,10,Married-civ-spouse,Husband,Male,0,0,30,<=50K
17,7,Never-married,Own-child,Male,2176,0,18,<=50K
32,13,Married-civ-spouse,Wife,Female,0,0,40,>50K
29,9,Divorced,Not-in-family,Male,0,0,40,<=50K
33,6,Never-married,Unmarried,Female,0,0,35,<=50K
25,9,Married-civ-spouse,Husband,Male,0,0,60,<=50K
36,14,Never-married,Not-in-family,Male,0,1408,40,<=50K
23,9,Never-married,Not-in-family,Male,0,0,72,<=50K
63,9,Married-civ-spouse,Husband,Male,0,0,40,>50K
47,14,Married-civ-spouse,Husband,Male,0,0,40,<=50K
40,13,Married-spouse-absent,Not-in-family,Female,2174,0,40,<=50K
30,12,Married-civ-spouse,Wife,Female,0,0,25,>50K
27,10,Never-married,Own-child,Male,0,1980,40,<=50K
33,14,Married-civ-spouse,Husband,Male,0,0,50,>50K
34,9,Never-married,Not-in-family,Male,594,0,60,<=50K
34,10,Never-married,Not-in-family,Female,0,0,40,<=50K
23,10,Married-civ-spouse,Husband,Male,0,0,40,<=50K
42,10,Married-civ-spouse,Wife,Female,0,0,40,<=50K
29,13,Never-married,Not-in-family,Male,0,0,40,<=50K
45,9,Divorced,Not-in-family,Female,0,0,28,<=50K
24,9,Never-married,Own-child,Male,0,0,40,<=50K
44,10,Married-civ-spouse,Husband,Male,0,0,40,>50K
27,5,Never-married,Other-relative,Male,0,0,40,<=50K
20,10,Never-married,Not-in-family,Male,0,0,35,<=50K
44,9,Widowed,Unmarried,Female,0,0,40,<=50K
51,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
20,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
19,9,Never-married,Own-child,Female,0,0,40,<=50K
45,10,Married-civ-spouse,Husband,Male,0,0,55,>50K
60,9,Married-civ-spouse,Husband,Male,0,0,40,>50K
44,9,Married-civ-spouse,Wife,Female,0,0,40,>50K
40,11,Married-civ-spouse,Husband,Male,0,0,40,>50K
30,9,Married-civ-spouse,Wife,Female,0,0,40,<=50K
38,10,Married-civ-spouse,Husband,Male,0,0,50,<=50K
23,9,Married-civ-spouse,Husband,Male,0,0,60,<=50K
44,12,Never-married,Own-child,Male,0,0,40,<=50K
54,9,Married-civ-spouse,Husband,Male,0,0,40,<=50K
32,13,Married-civ-spouse,Husband,Male,0,0,50,<=50K
50,2,Married-spouse-absent,Unmarried,Male,0,0,40,<=50K
24,13,Never-married,Not-in-family,Female,0,0,20,<=50K
37,9,Married-civ-spouse,Wife,Female,0,0,60,<=50K
52,9,Divorced,Unmarried,Male,0,0,40,<=50K
38,10,Married-civ-spouse,Husband,Male,0,0,40,<=50K
49,14,Married-civ-spouse,Husband,Male,0,1977,45,>50K
30,13,Married-civ-spouse,Wife,Female,0,0,16,>50K
60,10,Never-married,Unmarried,Male,0,0,40,>50K
35,9,Never-married,Not-in-family,Male,0,0,40,<=50K
30,9,Never-married,Not-in-family,Male,0,0,60,<=50K
67,11,Divorced,Not-in-family,Female,0,0,24,<=50K
46,13,Never-married,Not-in-family,Female,0,0,40,<=50K
17,5,Never-married,Not-in-family,Male,0,0,6,<=50K
22,10,Never-married,Own-child,Male,0,0,30,<=50K
